date;value;
1;5722372;5722372
2;150596;5872968
3;155466;6028434
4;155152;6183586
5;147857;6331443
6;135748;6467191
7;117843;6585034
8;100927;6685961
9;93817;6779778
10;100845;6880623
11;115953;6996576
12;143064;7139640
13;162474;7302114
14;147119;7449233
15;84099;7533332
16;-8875;7524457
17;-119770;7404687
18;-208645;7196042
19;-238775;6957267
20;-186874;6770393
21;-76634;6693759
22;56090;6749849
23;169954;6919803
24;250201;7170004
25;277840;7447844
26;267050;7714894
27;246058;7960952
28;237130;8198082
29;237827;8435909
30;255422;8691331
31;284266;8975597
32;313701;9289298
33;334601;9623899
34;346828;9970727
35;347174;10317901
36;338244;10656145
37;326774;10982919
38;315675;11298594
39;301916;11600510
40;285954;11886464
41;268777;12155241
42;250170;12405411
43;232308;12637719
44;218452;12856171
45;210304;13066475
46;206880;13273355
47;204350;13477705
48;202248;13679953
49;203882;13883835
50;209770;14093605
51;218600;14312205
52;229216;14541421
53;239033;14780454
54;245876;15026330
55;248176;15274506
56;246929;15521435
57;244855;15766290
58;243123;16009413
59;240382;16249795
60;236747;16486542
61;232429;16718971
62;227475;16946446
