date;value;;
1;5722372;5722372;5722372
2;-5571776;150596;5872968
3;4870;155466;6028434
4;-314;155152;6183586
5;-7295;147857;6331443
6;-12109;135748;6467191
7;-17905;117843;6585034
8;-16916;100927;6685961
9;-7110;93817;6779778
10;7028;100845;6880623
11;15108;115953;6996576
12;27111;143064;7139640
13;19410;162474;7302114
14;-15355;147119;7449233
15;-63020;84099;7533332
16;-92974;-8875;7524457
17;-110895;-119770;7404687
18;-88875;-208645;7196042
19;-30130;-238775;6957267
20;51901;-186874;6770393
21;110240;-76634;6693759
22;132724;56090;6749849
23;113864;169954;6919803
24;80247;250201;7170004
25;27639;277840;7447844
26;-10790;267050;7714894
27;-20992;246058;7960952
28;-8928;237130;8198082
29;697;237827;8435909
30;17595;255422;8691331
31;28844;284266;8975597
32;29435;313701;9289298
33;20900;334601;9623899
34;12227;346828;9970727
35;346;347174;10317901
36;-8930;338244;10656145
37;-11470;326774;10982919
38;-11099;315675;11298594
39;-13759;301916;11600510
40;-15962;285954;11886464
41;-17177;268777;12155241
42;-18607;250170;12405411
43;-17862;232308;12637719
44;-13856;218452;12856171
45;-8148;210304;13066475
46;-3424;206880;13273355
47;-2530;204350;13477705
48;-2102;202248;13679953
49;1634;203882;13883835
50;5888;209770;14093605
51;8830;218600;14312205
52;10616;229216;14541421
53;9817;239033;14780454
54;6843;245876;15026330
55;2300;248176;15274506
56;-1247;246929;15521435
57;-2074;244855;15766290
58;-1732;243123;16009413
59;-2741;240382;16249795
60;-3635;236747;16486542
61;-4318;232429;16718971
62;-4954;227475;16946446
