date;value;;;
1;5722372;5722372;5722372;5722372
2;-11294148;-5571776;150596;5872968
3;5576646;4870;155466;6028434
4;-5184;-314;155152;6183586
5;-6981;-7295;147857;6331443
6;-4814;-12109;135748;6467191
7;-5796;-17905;117843;6585034
8;989;-16916;100927;6685961
9;9806;-7110;93817;6779778
10;14138;7028;100845;6880623
11;8080;15108;115953;6996576
12;12003;27111;143064;7139640
13;-7701;19410;162474;7302114
14;-34765;-15355;147119;7449233
15;-47665;-63020;84099;7533332
16;-29954;-92974;-8875;7524457
17;-17921;-110895;-119770;7404687
18;22020;-88875;-208645;7196042
19;58745;-30130;-238775;6957267
20;82031;51901;-186874;6770393
21;58339;110240;-76634;6693759
22;22484;132724;56090;6749849
23;-18860;113864;169954;6919803
24;-33617;80247;250201;7170004
25;-52608;27639;277840;7447844
26;-38429;-10790;267050;7714894
27;-10202;-20992;246058;7960952
28;12064;-8928;237130;8198082
29;9625;697;237827;8435909
30;16898;17595;255422;8691331
31;11249;28844;284266;8975597
32;591;29435;313701;9289298
33;-8535;20900;334601;9623899
34;-8673;12227;346828;9970727
35;-11881;346;347174;10317901
36;-9276;-8930;338244;10656145
37;-2540;-11470;326774;10982919
38;371;-11099;315675;11298594
39;-2660;-13759;301916;11600510
40;-2203;-15962;285954;11886464
41;-1215;-17177;268777;12155241
42;-1430;-18607;250170;12405411
43;745;-17862;232308;12637719
44;4006;-13856;218452;12856171
45;5708;-8148;210304;13066475
46;4724;-3424;206880;13273355
47;894;-2530;204350;13477705
48;428;-2102;202248;13679953
49;3736;1634;203882;13883835
50;4254;5888;209770;14093605
51;2942;8830;218600;14312205
52;1786;10616;229216;14541421
53;-799;9817;239033;14780454
54;-2974;6843;245876;15026330
55;-4543;2300;248176;15274506
56;-3547;-1247;246929;15521435
57;-827;-2074;244855;15766290
58;342;-1732;243123;16009413
59;-1009;-2741;240382;16249795
60;-894;-3635;236747;16486542
61;-683;-4318;232429;16718971
62;-636;-4954;227475;16946446
