date;value;;;
1;380;380;3,8;100
2;-19;361;3,61;100
3;-54;307;3,07;100
4;31;338;3,38;100
5;21;359;3,59;100
6;70;429;4,29;100
7;-83;346;3,46;100
8;-82;264;2,64;100
9;190;454;4,54;100
10;44;498;4,98;100
11;-141;357;3,57;100
12;144;501;5,01;100
13;13;514;5,14;100
14;68;582;5,82;100
15;152;734;7,34;100
16;32;766;7,66;100
17;284;1050;10,5;100
18;-447;603;6,03;100
19;331;934;9,34;100
20;147;1081;10,81;100
21;665;1746;17,46;100
22;33;1779;17,79;100
23;-3;1776;17,76;100
24;-226;1550;15,5;100
25;-704;846;8,46;100
26;71;917;9,1749;100
27;250;1167;11,66957;100
28;-338;829;8,28565;100
29;-338;491;4,9137;100
