date;value;
1;87751066;87751066
2;2347330;90098396
3;2419977;92518373
4;2496922;95015295
5;2581433;97596728
6;2670342;100267070
7;2758353;103025423
8;2840153;105865576
9;2914350;108779926
10;2978640;111758566
11;3034613;114793179
12;3086967;117880146
13;3137170;121017316
14;3182377;124199693
15;3222505;127422198
16;3258532;130680730
17;3286210;133966940
18;3311117;137278057
19;3343674;140621731
20;3388113;144009844
21;3437990;147447834
22;3490388;150938222
23;3530013;154468235
24;3541013;158009248
25;3514105;161523353
26;3459099;164982452
27;3391835;168374287
28;3328469;171702756
29;3273197;174975953
30;3233194;178209147
31;3204251;181413398
32;3178499;184591897
33;3147889;187739786
34;3111398;190851184
35;3066274;193917458
36;3016799;196934257
37;2966974;199901231
38;2925213;202826444
39;2898153;205724597
40;2890574;208615171
41;2898651;211513822
42;2913597;214427419
43;2930371;217357790
44;2951683;220309473
45;2976193;223285666
46;3003802;226289468
47;3028794;229318262
48;3055977;232374239
49;3095516;235469755
50;3150799;238620554
51;3213672;241834226
52;3281762;245115988
53;3335726;248451714
54;3353600;251805314
55;3322762;255128076
56;3255181;258383257
57;3173129;261556386
58;3094583;264650969
59;3019580;267670549
60;2955018;270625567
61;2898054;273523621
62;2838167;276361788
