date;value;
1;90;90
2;3;93
3;13;106
4;47;153
5;83;236
6;35;271
7;53;324
8;65;389
9;37;426
10;-10;416
11;157;573
12;137;710
13;3;713
14;-83;630
15;2;632
16;-495;137
17;4;141
18;29;170
19;29;199
20;1;200
21;-11;189
22;53;242
23;7;249
24;-5;244
25;15;259
26;52;311
27;8;319
28;-14;305
29;-35;270
30;26;296
31;6;302
32;20;322
33;17;339
34;24;363
35;46;409
36;65;474
37;66;540
38;92;632
39;114;746
40;-8;738
41;48;786
42;96;882
43;68;950
44;78;1028
45;70;1098
46;65;1163
47;107;1270
48;115;1385
49;127;1512
50;132;1644
51;-131;1513
