date;value;
1;44;44
2;4;48
3;2;50
4;6;56
5;5;61
6;9;70
7;5;75
8;2;77
9;6;83
10;4;87
11;15;102
12;25;127
13;14;141
14;8;149
15;12;161
16;9;170
17;7;177
18;-4;173
19;-2;171
20;26;197
21;15;212
22;33;245
23;28;273
24;27;300
25;40;340
26;42;382
27;12;394
28;-34;360
29;-100;260
30;29;289
31;50;339
32;-1;338
33;9;347
34;45;392
35;63;455
36;57;512
37;105;617
38;152;769
39;179;948
40;37;985
41;185;1170
42;207;1377
43;204;1581
44;245;1826
45;172;1998
46;137;2135
47;174;2309
48;146;2455
49;114;2569
50;45;2614
51;9;2623
