date;value;;;
1;2120892;2120892;2120892;2120892
2;-4192336;-2071444;49448;2170340
3;2072779;1335;50783;2221123
4;111;1446;52229;2273352
5;110;1556;53785;2327137
6;108;1664;55449;2382586
7;-502;1162;56611;2439197
8;-43;1119;57730;2496927
9;1069;2188;59918;2556845
10;1497;3685;63603;2620448
11;693;4378;67981;2688429
12;1476;5854;73835;2762264
13;-1111;4743;78578;2840842
14;-4875;-132;78446;2919288
15;-6639;-6771;71675;2990963
16;-4284;-11055;60620;3051583
17;-2186;-13241;47379;3098962
18;2739;-10502;36877;3135839
19;6624;-3878;32999;3168838
20;9372;5494;38493;3207331
21;6831;12325;50818;3258149
22;2061;14386;65204;3323353
23;-1750;12636;77840;3401193
24;-1759;10877;88717;3489910
25;-3189;7688;96405;3586315
26;-2519;5169;101574;3687889
27;-428;4741;106315;3794204
28;270;5011;111326;3905530
29;-1050;3961;115287;4020817
30;-1220;2741;118028;4138845
31;-1143;1598;119626;4258471
32;-461;1137;120763;4379234
33;-788;349;121112;4500346
34;-1861;-1512;119600;4619946
35;-2197;-3709;115891;4735837
36;-1542;-5251;110640;4846477
37;-677;-5928;104712;4951189
38;335;-5593;99119;5050308
39;767;-4826;94293;5144601
40;1271;-3555;90738;5235339
41;1179;-2376;88362;5323701
42;-103;-2479;85883;5409584
43;259;-2220;83663;5493247
44;1950;-270;83393;5576640
45;2436;2166;85559;5662199
46;1751;3917;89476;5751675
47;1007;4924;94400;5846075
48;-449;4475;98875;5944950
49;-1670;2805;101680;6046630
50;-2494;311;101991;6148621
51;-1755;-1444;100547;6249168
52;-707;-2151;98396;6347564
53;718;-1433;96963;6444527
54;1245;-188;96775;6541302
55;1874;1686;98461;6639763
56;1250;2936;101397;6741160
57;355;3291;104688;6845848
58;-796;2495;107183;6953031
59;-1211;1284;108467;7061498
60;-1793;-509;107958;7169456
61;-1349;-1858;106100;7275556
62;-440;-2298;103802;7379358
