date;value;
1;358;358
2;26;384
3;61;445
4;216;661
5;139;800
6;-33;767
7;119;886
8;141;1027
9;220;1247
10;329;1576
11;199;1775
12;-6;1769
13;83;1852
14;196;2048
15;186;2234
16;-234;2000
17;-271;1729
18;219;1948
19;124;2072
20;144;2216
21;226;2442
22;211;2653
23;460;3113
24;320;3433
25;295;3728
26;608;4336
27;462;4798
28;-153;4645
29;-1381;3264
30;229;3493
31;551;4044
32;-131;3913
33;253;4166
34;296;4462
35;490;4952
36;635;5587
37;622;6209
38;1035;7244
39;1231;8475
40;-1183;7292
41;1749;9041
42;1358;10399
43;418;10817
44;153;10970
45;349;11319
46;-1364;9955
47;-137;9818
48;441;10259
49;1119;11378
50;36;11414
51;-1012;10402
