date;value;;
1;358;358;358
2;-332;26;384
3;35;61;445
4;155;216;661
5;-77;139;800
6;-172;-33;767
7;152;119;886
8;22;141;1027
9;79;220;1247
10;109;329;1576
11;-130;199;1775
12;-205;-6;1769
13;89;83;1852
14;113;196;2048
15;-10;186;2234
16;-420;-234;2000
17;-37;-271;1729
18;490;219;1948
19;-95;124;2072
20;20;144;2216
21;82;226;2442
22;-15;211;2653
23;249;460;3113
24;-140;320;3433
25;-25;295;3728
26;313;608;4336
27;-146;462;4798
28;-615;-153;4645
29;-1228;-1381;3264
30;1610;229;3493
31;322;551;4044
32;-682;-131;3913
33;384;253;4166
34;43;296;4462
35;194;490;4952
36;145;635;5587
37;-13;622;6209
38;413;1035;7244
39;196;1231;8475
40;-2414;-1183;7292
41;2932;1749;9041
42;-391;1358;10399
43;-940;418;10817
44;-265;153;10970
45;196;349;11319
46;-1713;-1364;9955
47;1227;-137;9818
48;578;441;10259
49;678;1119;11378
50;-1083;36;11414
51;-1048;-1012;10402
