date;value;
1;100;100
2;2;102
3;-5;97
4;27;124
5;23;147
6;-17;130
7;6;136
8;0;136
9;15;151
10;17;168
11;14;182
12;-4;178
13;-3;175
14;3;178
15;-1;177
16;2;179
17;-28;151
18;-10;141
19;-4;137
20;8;145
21;4;149
22;10;159
23;14;173
24;14;187
25;16;203
26;15;218
27;15;233
28;13;246
29;-93;153
30;1;154
31;32;186
32;23;209
33;49;258
34;-34;224
35;24;248
36;41;289
37;46;335
38;79;414
39;145;559
40;153;712
41;174;886
42;310;1196
43;69;1265
44;8;1273
45;68;1341
46;-129;1212
47;51;1263
48;15;1278
49;93;1371
