date;value;;
1;100;100;100
2;-98;2;102
3;-7;-5;97
4;32;27;124
5;-4;23;147
6;-40;-17;130
7;23;6;136
8;-6;0;136
9;15;15;151
10;2;17;168
11;-3;14;182
12;-18;-4;178
13;1;-3;175
14;6;3;178
15;-4;-1;177
16;3;2;179
17;-30;-28;151
18;18;-10;141
19;6;-4;137
20;12;8;145
21;-4;4;149
22;6;10;159
23;4;14;173
24;0;14;187
25;2;16;203
26;-1;15;218
27;0;15;233
28;-2;13;246
29;-106;-93;153
30;94;1;154
31;31;32;186
32;-9;23;209
33;26;49;258
34;-83;-34;224
35;58;24;248
36;17;41;289
37;5;46;335
38;33;79;414
39;66;145;559
40;8;153;712
41;21;174;886
42;136;310;1196
43;-241;69;1265
44;-61;8;1273
45;60;68;1341
46;-197;-129;1212
47;180;51;1263
48;-36;15;1278
49;78;93;1371
