date;value;;;
1;415;415;4,15482178;100
2;-255;160;1,595633005;100
3;420;580;5,796652201;100
4;-17;563;5,62554937;100
5;255;818;8,183079057;100
6;-562;256;2,564102564;100
7;284;540;5,4;100
8;85;625;6,253953194;100
9;-389;236;2,358806459;100
10;-40;196;1,955510323;100
11;1242;1438;14,38146168;100
12;702;2140;21,40334354;100
13;-1320;820;8,204034135;100
14;838;1658;16,58003226;100
15;1758;3416;34,16359164;100
16;-2740;676;6,761402705;100
17;244;920;9,199227136;100
18;70;990;9,898751597;100
19;-257;733;7,334525939;100
20;1020;1753;17,53333333;100
21;67;1820;18,20051049;100
22;-512;1308;13,08259852;100
23;-286;1022;10,22172714;100
24;-19;1003;10,02935656;100
25;4031;5034;50,33897564;100
26;-2724;2310;23,10310718;100
27;-2195;115;1,148137777;100
28;292;407;4,069767442;100
29;979;1386;13,86006917;100
30;-162;1224;12,24299065;100
31;-6;1218;12,17735221;100
32;708;1926;19,26145853;100
33;-1061;865;8,651003579;100
34;-193;672;6,716311041;100
35;367;1039;10,38647343;100
36;-356;683;6,83199611;100
37;65;748;7,476103778;100
38;-189;559;5,590259397;100
39;364;923;9,234934323;100
40;-329;594;5,939049018;100
41;-196;398;3,977125032;100
42;137;535;5,345501956;100
43;-263;272;2,722772277;100
44;-43;229;2,289156627;100
45;254;483;4,829210836;100
46;169;652;6,516853933;100
47;-103;549;5,485232068;100
48;-259;290;2,9;100
49;536;826;8,260447036;100
50;-404;422;4,219030521;100
51;-43;379;3,789836348;100
52;93;472;4,718417047;100
53;-169;303;3,026963911;100
54;-45;258;2,582687661;100
55;102;360;3,597823439;100
56;-293;67;0,674192537;100
57;58;125;1,253698801;100
58;160;285;2,853187726;100
59;246;531;5,309346616;100
60;-292;239;2,392065344;100
61;0;239;2,393162393;100
62;154;393;3,927180221;100
