date;value;;
1;26269741;26269741;26269741
2;-25378430;891311;27161052
3;24982;916293;28077345
4;18992;935285;29012630
5;10772;946057;29958687
6;5253;951310;30909997
7;2868;954178;31864175
8;5617;959795;32823970
9;11438;971233;33795203
10;19873;991106;34786309
11;26176;1017282;35803591
12;28805;1046087;36849678
13;27635;1073722;37923400
14;25637;1099359;39022759
15;22132;1121491;40144250
16;20000;1141491;41285741
17;19427;1160918;42446659
18;21838;1182756;43629415
19;26314;1209070;44838485
20;32289;1241359;46079844
21;36538;1277897;47357741
22;37193;1315090;48672831
23;35643;1350733;50023564
24;34613;1385346;51408910
25;32791;1418137;52827047
26;30652;1448789;54275836
27;30721;1479510;55755346
28;28979;1508489;57263835
29;22675;1531164;58794999
30;14605;1545769;60340768
31;8632;1554401;61895169
32;5215;1559616;63454785
33;5723;1565339;65020124
34;8441;1573780;66593904
35;13162;1586942;68180846
36;16299;1603241;69784087
37;14415;1617656;71401743
38;11480;1629136;73030879
39;11994;1641130;74672009
40;12788;1653918;76325927
41;11912;1665830;77991757
42;15282;1681112;79672869
43;11279;1692391;81365260
44;-5681;1686710;83051970
45;-28136;1658574;84710544
46;-42867;1615707;86326251
47;-53283;1562424;87888675
48;-45617;1516807;89405482
49;-20322;1496485;90901967
50;15709;1512194;92414161
51;40429;1552623;93966784
52;50642;1603265;95570049
53;39325;1642590;97212639
54;16329;1658919;98871558
55;-17340;1641579;100513137
56;-41510;1600069;102113206
57;-49463;1550606;103663812
58;-41497;1509109;105172921
59;-30636;1478473;106651394
60;-13245;1465228;108116622
61;-765;1464463;109581085
62;1362;1465825;111046910
