date;value;
1;200;200
2;3;203
3;15;218
4;63;281
5;65;346
6;21;367
7;41;408
8;56;464
9;87;551
10;64;615
11;93;708
12;39;747
13;23;770
14;57;827
15;21;848
16;-73;775
17;68;843
18;128;971
19;193;1164
20;179;1343
21;221;1564
22;205;1769
23;230;1999
24;210;2209
25;282;2491
26;356;2847
27;197;3044
28;-576;2468
29;-622;1846
30;187;2033
31;-25;2008
32;-115;1893
33;203;2096
34;263;2359
35;301;2660
36;234;2894
37;476;3370
38;603;3973
39;407;4380
40;-167;4213
41;863;5076
42;416;5492
43;369;5861
44;307;6168
45;-216;5952
46;-112;5840
47;153;5993
48;601;6594
49;703;7297
50;520;7817
51;-628;7189
