date;value;;
1;32670048;32670048;32670048
2;-31673985;996063;33666111
3;21236;1017299;34683410
4;20504;1037803;35721213
5;20985;1058788;36780001
6;20158;1078946;37858947
7;20153;1099099;38958046
8;15806;1114905;40072951
9;5732;1120637;41193588
10;-7076;1113561;42307149
11;-15908;1097653;43404802
12;-18423;1079230;44484032
13;-14786;1064444;45548476
14;-9398;1055046;46603522
15;-1014;1054032;47657554
16;6604;1060636;48718190
17;6452;1067088;49785278
18;8800;1075888;50861166
19;21967;1097855;51959021
20;38530;1136385;53095406
21;50050;1186435;54281841
22;54528;1240963;55522804
23;50542;1291505;56814309
24;42570;1334075;58148384
25;30160;1364235;59512619
26;19878;1384113;60896732
27;13014;1397127;62293859
28;10988;1408115;63701974
29;10343;1418458;65120432
30;11341;1429799;66550231
31;8825;1438624;67988855
32;9477;1448101;69436956
33;-1569;1446532;70883488
34;-29712;1416820;72300308
35;-65908;1350912;73651220
36;-91670;1259242;74910462
37;-100965;1158277;76068739
38;-93804;1064473;77133212
39;-81973;982500;78115712
40;-62341;920159;79035871
41;-45619;874540;79910411
42;-42451;832089;80742500
43;-40183;791906;81534406
44;-24662;767244;82301650
45;-6075;761169;83062819
46;8674;769843;83832662
47;15040;784883;84617545
48;17160;802043;85419588
49;21793;823836;86243424
50;24990;848826;87092250
51;26579;875405;87967655
52;28324;903729;88871384
53;26813;930542;89801926
54;20125;950667;90752593
55;10590;961257;91713850
56;1975;963232;92677082
57;121;963353;93640435
58;-3145;960208;94600643
59;-14892;945316;95545959
60;-29167;916149;96462108
61;-39674;876475;97338583
