date;value;;
1;81707;81707;81707
2;-77854;3853;85560
3;71;3924;89484
4;132;4056;93540
5;223;4279;97819
6;292;4571;102390
7;313;4884;107274
8;288;5172;112446
9;279;5451;117897
10;248;5699;123596
11;235;5934;129530
12;208;6142;135672
13;201;6343;142015
14;158;6501;148516
15;52;6553;155069
16;13;6566;161635
17;-28;6538;168173
18;6;6544;174717
19;-60;6484;181201
20;-89;6395;187596
21;-111;6284;193880
22;-137;6147;200027
23;-110;6037;206064
24;-28;6009;212073
25;94;6103;218176
26;161;6264;224440
27;213;6477;230917
28;171;6648;237565
29;192;6840;244405
30;211;7051;251456
31;207;7258;258714
32;236;7494;266208
33;186;7680;273888
34;116;7796;281684
35;-28;7768;289452
36;-108;7660;297112
37;-152;7508;304620
38;-166;7342;311962
39;-169;7173;319135
40;-94;7079;326214
41;-127;6952;333166
42;-81;6871;340037
43;-131;6740;346777
44;-222;6518;353295
45;-379;6139;359434
46;-461;5678;365112
47;-528;5150;370262
48;-445;4705;374967
49;-254;4451;379418
50;33;4484;383902
51;248;4732;388634
52;321;5053;393687
53;257;5310;398997
54;107;5417;404414
55;-53;5364;409778
56;-228;5136;414914
57;-259;4877;419791
58;-187;4690;424481
59;-211;4479;428960
60;-143;4336;433296
61;-149;4187;437483
