date;value;
1;21736947;21736947
2;474679;22211626
3;486038;22697664
4;500574;23198238
5;519547;23717785
6;541571;24259356
7;564581;24823937
8;586117;25410054
9;605185;26015239
10;620613;26635852
11;633211;27269063
12;644686;27913749
13;656344;28570093
14;668075;29238168
15;680301;29918469
16;692624;30611093
17;703254;31314347
18;712401;32026748
19;722034;32748782
20;732615;33481397
21;742919;34224316
22;752149;34976465
23;757808;35734273
24;757531;36491804
25;749726;37241530
26;735557;37977087
27;721397;38698484
28;705866;39404350
29;681303;40085653
30;645786;40731439
31;603749;41335188
32;555004;41890192
33;511494;42401686
34;488306;42889992
35;493429;43383421
36;518177;43901598
37;550605;44452203
38;575020;45027223
39;583997;45611220
40;569855;46181075
41;538623;46719698
42;505421;47225119
43;477044;47702163
44;446744;48148907
45;415582;48564489
46;385442;48949931
47;351118;49301049
48;320430;49621479
49;308163;49929642
50;320724;50250366
51;350461;50600827
52;389785;50990612
53;423091;51413703
54;438761;51852464
55;428352;52280816
56;399908;52680724
57;364475;53045199
58;337322;53382521
59;325797;53708318
60;337104;54045422
61;364372;54409794
62;396220;54806014
