date;value;;
1;21736947;21736947;21736947
2;-21262268;474679;22211626
3;11359;486038;22697664
4;14536;500574;23198238
5;18973;519547;23717785
6;22024;541571;24259356
7;23010;564581;24823937
8;21536;586117;25410054
9;19068;605185;26015239
10;15428;620613;26635852
11;12598;633211;27269063
12;11475;644686;27913749
13;11658;656344;28570093
14;11731;668075;29238168
15;12226;680301;29918469
16;12323;692624;30611093
17;10630;703254;31314347
18;9147;712401;32026748
19;9633;722034;32748782
20;10581;732615;33481397
21;10304;742919;34224316
22;9230;752149;34976465
23;5659;757808;35734273
24;-277;757531;36491804
25;-7805;749726;37241530
26;-14169;735557;37977087
27;-14160;721397;38698484
28;-15531;705866;39404350
29;-24563;681303;40085653
30;-35517;645786;40731439
31;-42037;603749;41335188
32;-48745;555004;41890192
33;-43510;511494;42401686
34;-23188;488306;42889992
35;5123;493429;43383421
36;24748;518177;43901598
37;32428;550605;44452203
38;24415;575020;45027223
39;8977;583997;45611220
40;-14142;569855;46181075
41;-31232;538623;46719698
42;-33202;505421;47225119
43;-28377;477044;47702163
44;-30300;446744;48148907
45;-31162;415582;48564489
46;-30140;385442;48949931
47;-34324;351118;49301049
48;-30688;320430;49621479
49;-12267;308163;49929642
50;12561;320724;50250366
51;29737;350461;50600827
52;39324;389785;50990612
53;33306;423091;51413703
54;15670;438761;51852464
55;-10409;428352;52280816
56;-28444;399908;52680724
57;-35433;364475;53045199
58;-27153;337322;53382521
59;-11525;325797;53708318
60;11307;337104;54045422
61;27268;364372;54409794
62;31848;396220;54806014
